university_id,university_name,university_country
unvst-019b0caa-6750-78a5-9507-465f04bb5dfb,Robert Morris University Illinois,United States
unvst-019b0caa-6750-78a5-9507-466099056409,Northwest Florida State College,United States
unvst-019b0caa-6750-78a5-9507-46615582931b,West Virginia Wesleyan College,United States
unvst-019b0caa-6750-78a5-9507-4662319ca5a8,Utica College,United States
unvst-019b0caa-6750-78a5-9507-466306921045,Career College of Northern Nevada,United States
unvst-019b0caa-6750-78a5-9507-4664553ee294,College of Southern Nevada,United States
unvst-019b0caa-6750-78a5-9507-4665c5f1a1c3,University of North Georgia,United States
unvst-019b0caa-6750-78a5-9507-4666f0501cda,The Principia,United States
unvst-019b0caa-6750-78a5-9507-46673847c67d,Lynn University,United States
unvst-019b0caa-6750-78a5-9507-4668020a9219,Colorado Community College System,United States
unvst-019b0caa-6750-78a5-9507-4669113051d2,Valencia College,United States
unvst-019b0caa-6750-78a5-9507-466aa11acabb,St. Petersburg College,United States
unvst-019b0caa-6750-78a5-9507-466bff385e5f,Globe University & Minnesota School of Business,United States
unvst-019b0caa-6750-78a5-9507-466c222596a7,Everest College,United States
unvst-019b0caa-6750-78a5-9507-466db9ebb3c5,Southwest Research Institute,United States
unvst-019b0caa-6750-78a5-9507-466e6f3b4fbf,American Public University System,United States
unvst-019b0caa-6750-78a5-9507-466f1ac288da,Full Sail University,United States
unvst-019b0caa-6750-78a5-9507-4670245336ff,YTI Career Institute,United States
unvst-019b0caa-6750-78a5-9507-4671fc0440dd,Defense Language Institute Foreign Language Center,United States
unvst-019b0caa-6750-78a5-9507-4672bf94c9a9,Columbus State University,United States
unvst-019b0caa-6750-78a5-9507-46735f12e300,Morehead State University,United States
unvst-019b0caa-6750-78a5-9507-4674f87a9b91,Colorado State University - Global Campus,United States
unvst-019b0caa-6750-78a5-9507-467557aa896a,North Dakota University System,United States
unvst-019b0caa-6750-78a5-9507-4676cbbc18ae,University of Houston-Downtown,United States
unvst-019b0caa-6750-78a5-9507-4677a721d20a,Stratford University,United States
unvst-019b0caa-6750-78a5-9507-467881ef5fa8,"California Polytechnic State University, Pomona",United States
unvst-019b0caa-6750-78a5-9507-46791e55daaa,Baker College,United States
unvst-019b0caa-6750-78a5-9507-467af8193226,The College of New Jersey,United States
unvst-019b0caa-6750-78a5-9507-467b941cf654,Abilene Christian University,United States
unvst-019b0caa-6750-78a5-9507-467c218c228f,Adelphi University,United States
unvst-019b0caa-6751-7bf7-a203-daa020462dcd,Agnes Scott College,United States
unvst-019b0caa-6751-7bf7-a203-daa1d12c9098,Aiken Technical College,United States
unvst-019b0caa-6751-7bf7-a203-daa259174bfc,Air Force Institute of Technology,United States
unvst-019b0caa-6751-7bf7-a203-daa310556cf9,Alabama A&M University,United States
unvst-019b0caa-6751-7bf7-a203-daa4f7e46928,Alabama State University,United States
unvst-019b0caa-6751-7bf7-a203-daa558bd938f,Alamo Colleges,United States
unvst-019b0caa-6751-7bf7-a203-daa670f905b8,Albertson College of Idaho,United States
unvst-019b0caa-6751-7bf7-a203-daa7bc90dab3,Albion College,United States
unvst-019b0caa-6751-7bf7-a203-daa894b129e7,Alfred University,United States
unvst-019b0caa-6751-7bf7-a203-daa9a7be1f30,Allegheny College,United States
unvst-019b0caa-6751-7bf7-a203-daaaa6ffc7b0,Allentown College of Saint Francis de Sales,United States
unvst-019b0caa-6751-7bf7-a203-daab61d0bd86,Alma College,United States
unvst-019b0caa-6751-7bf7-a203-daac04119dac,Alverno College,United States
unvst-019b0caa-6751-7bf7-a203-daad0ca32945,Ambassador University,United States
unvst-019b0caa-6751-7bf7-a203-daaeda63b951,American Coastline University,United States
unvst-019b0caa-6751-7bf7-a203-daafa68fff74,American International College,United States
unvst-019b0caa-6751-7bf7-a203-dab0aebf4210,American University,United States
unvst-019b0caa-6751-7bf7-a203-dab14244501d,Amherst College,United States
unvst-019b0caa-6751-7bf7-a203-dab22d23634c,Andrews University,United States
unvst-019b0caa-6751-7bf7-a203-dab373b542a3,Angelo State University,United States
unvst-019b0caa-6751-7bf7-a203-dab48164832d,Anne Arundel Community College,United States
unvst-019b0caa-6751-7bf7-a203-dab54f6f6f90,Antioch New England,United States
unvst-019b0caa-6751-7bf7-a203-dab6104da85d,Antioch University,United States
unvst-019b0caa-6751-7bf7-a203-dab723d71657,Antioch University - Los Angeles,United States
unvst-019b0caa-6751-7bf7-a203-dab8cb16d348,Antioch University - Seattle,United States
unvst-019b0caa-6751-7bf7-a203-dab9116479f9,Appalachian State University,United States
unvst-019b0caa-6751-7bf7-a203-daba0ad7a470,Aquinas College,United States
unvst-019b0caa-6751-7bf7-a203-dabb3d36aab3,Arcadia College,United States
unvst-019b0caa-6751-7bf7-a203-dabc6a29563f,Arizona State University,United States
unvst-019b0caa-6751-7bf7-a203-dabd8a861c8c,Arizona Western College,United States
unvst-019b0caa-6751-7bf7-a203-dabebe5037a6,Arkansas State University,United States
unvst-019b0caa-6751-7bf7-a203-dabfbba34ced,Arkansas Tech University,United States
unvst-019b0caa-6751-7bf7-a203-dac0519e2ac1,Armstrong State College,United States
unvst-019b0caa-6751-7bf7-a203-dac17f8ac65e,Ashland University,United States
unvst-019b0caa-6751-7bf7-a203-dac23d65d55e,Assumption College,United States
unvst-019b0caa-6751-7bf7-a203-dac343ebb259,Auburn University,United States
unvst-019b0caa-6751-7bf7-a203-dac44604b4ad,Auburn University at Montgomery,United States
unvst-019b0caa-6751-7bf7-a203-dac570be1ca3,Augsburg College,United States
unvst-019b0caa-6751-7bf7-a203-dac66c7d462f,Augustana College (IL),United States
unvst-019b0caa-6751-7bf7-a203-dac74b7a6418,Augustana College (SD),United States
unvst-019b0caa-6751-7bf7-a203-dac83757fa77,Augusta University,United States
unvst-019b0caa-6751-7bf7-a203-dac99b4f156b,Aurora University,United States
unvst-019b0caa-6751-7bf7-a203-daca1fb24dce,Austin College,United States
unvst-019b0caa-6751-7bf7-a203-dacbcf94b12b,Austin Community College,United States
unvst-019b0caa-6751-7bf7-a203-dacc37224600,Austin Peay State University,United States
unvst-019b0caa-6751-7bf7-a203-dacdc4027a2f,Averett College,United States
unvst-019b0caa-6751-7bf7-a203-dacec3352c21,Avila College,United States
unvst-019b0caa-6751-7bf7-a203-dacfc5eda01c,Azusa Pacific University,United States
unvst-019b0caa-6751-7bf7-a203-dad07d6db241,Babson College,United States
unvst-019b0caa-6751-7bf7-a203-dad15dad871c,Baker University,United States
unvst-019b0caa-6751-7bf7-a203-dad2a7924d79,Ball State University,United States
unvst-019b0caa-6751-7bf7-a203-dad3121ce9ac,Baptist Bible College,United States
unvst-019b0caa-6751-7bf7-a203-dad4e36ddb10,Bard College,United States
unvst-019b0caa-6751-7bf7-a203-dad5b45c7477,Barry University,United States
unvst-019b0caa-6751-7bf7-a203-dad680418823,Bastyr University,United States
unvst-019b0caa-6751-7bf7-a203-dad7cbacb50d,Bates College,United States
unvst-019b0caa-6751-7bf7-a203-dad813be104e,Baylor College of Medicine,United States
unvst-019b0caa-6751-7bf7-a203-dad9e3c59b5f,Baylor University,United States
unvst-019b0caa-6751-7bf7-a203-dada4af32532,Bellevue University,United States
unvst-019b0caa-6751-7bf7-a203-dadbaeb35231,Belmont University,United States
unvst-019b0caa-6751-7bf7-a203-dadc1f2aedb9,Beloit College,United States
unvst-019b0caa-6751-7bf7-a203-dadda945289c,Bemidji State University,United States
unvst-019b0caa-6751-7bf7-a203-dade8c8e3ed7,Benedictine College,United States
unvst-019b0caa-6751-7bf7-a203-dadfc2ce2926,Bennington College,United States
unvst-019b0caa-6751-7bf7-a203-dae02f839f2e,Bentley University,United States
unvst-019b0caa-6751-7bf7-a203-dae14275a6f7,Berea College,United States
unvst-019b0caa-6751-7bf7-a203-dae2aea4352b,Berklee College of Music,United States
unvst-019b0caa-6751-7bf7-a203-dae329d9a2fe,Bethany College,United States
unvst-019b0caa-6751-7bf7-a203-dae4eefea65d,Bethel College (KS),United States
unvst-019b0caa-6751-7bf7-a203-dae567ca9348,Bethel University,United States
unvst-019b0caa-6751-7bf7-a203-dae60b80f6a1,Biola University,United States
unvst-019b0caa-6751-7bf7-a203-dae77c99f512,Birmingham-Southern College,United States
unvst-019b0caa-6751-7bf7-a203-dae8d1a70c3f,Black Hills State University,United States
unvst-019b0caa-6751-7bf7-a203-dae92b09d525,Bloomsburg University of Pennsylvania,United States
unvst-019b0caa-6751-7bf7-a203-daea0e76d26c,Bluffton College,United States
unvst-019b0caa-6751-7bf7-a203-daebd2896d96,Bob Jones University,United States
unvst-019b0caa-6751-7bf7-a203-daec9a218ab5,Boise State University,United States
unvst-019b0caa-6751-7bf7-a203-daeda5f89193,Boston College,United States
unvst-019b0caa-6751-7bf7-a203-daee85bcfbdb,Boston Graduate School of Psychoanalysis,United States
unvst-019b0caa-6751-7bf7-a203-daef5d5abbed,Boston University,United States
unvst-019b0caa-6751-7bf7-a203-daf098e8f85a,Bowdoin College,United States
unvst-019b0caa-6751-7bf7-a203-daf1971c6ece,Bowie State University,United States
unvst-019b0caa-6751-7bf7-a203-daf2a54ac49f,Bowling Green State University,United States
unvst-019b0caa-6751-7bf7-a203-daf30656828a,Bradley University,United States
unvst-019b0caa-6751-7bf7-a203-daf460c92162,Brandeis University,United States
unvst-019b0caa-6751-7bf7-a203-daf595d3e7e3,Brenau University,United States
unvst-019b0caa-6751-7bf7-a203-daf6c1dc568d,Briar Cliff College,United States
unvst-019b0caa-6751-7bf7-a203-daf776a8f673,Bridgewater College,United States
unvst-019b0caa-6751-7bf7-a203-daf8f05274f1,Brigham Young University,United States
unvst-019b0caa-6751-7bf7-a203-daf9dcb0bde0,Brigham Young University - Idaho,United States
unvst-019b0caa-6751-7bf7-a203-dafac760bc52,Brigham Young University Hawaii,United States
unvst-019b0caa-6751-7bf7-a203-dafb02b8112d,Broward College,United States
unvst-019b0caa-6751-7bf7-a203-dafc6af1d4df,Brown University,United States
unvst-019b0caa-6751-7bf7-a203-dafde16eed29,Bryant University,United States
unvst-019b0caa-6751-7bf7-a203-dafe9867165c,Bryn Mawr College,United States
unvst-019b0caa-6751-7bf7-a203-daff6ebc0d8c,Bucknell University,United States
unvst-019b0caa-6751-7bf7-a203-db00d09f5cad,Buena Vista University,United States
unvst-019b0caa-6751-7bf7-a203-db01147e8bc3,Butler University,United States
unvst-019b0caa-6751-7bf7-a203-db02460cbae9,California Coast University,United States
unvst-019b0caa-6751-7bf7-a203-db03c25c5b8f,California Institute of Technology,United States
unvst-019b0caa-6751-7bf7-a203-db043b03293a,California Lutheran University,United States
unvst-019b0caa-6751-7bf7-a203-db052cc57547,California Maritime Academy,United States
unvst-019b0caa-6751-7bf7-a203-db0681a0713a,California National University,United States
unvst-019b0caa-6751-7bf7-a203-db0784974e44,"California Polytechnic State University, San Luis Obispo",United States
unvst-019b0caa-6751-7bf7-a203-db084c93a5f7,"California State University, Bakersfield",United States
unvst-019b0caa-6751-7bf7-a203-db0917cccf00,"California State University, Chico",United States
unvst-019b0caa-6751-7bf7-a203-db0a3bb612f5,"California State University, Dominguez Hills",United States
unvst-019b0caa-6751-7bf7-a203-db0ba339e25a,"California State University, Fresno",United States
unvst-019b0caa-6751-7bf7-a203-db0c50ee34ab,"California State University, Fullerton",United States
unvst-019b0caa-6751-7bf7-a203-db0d31192800,"California State University, Hayward",United States
unvst-019b0caa-6751-7bf7-a203-db0e7185d808,"California State University, Long Beach",United States
unvst-019b0caa-6751-7bf7-a203-db0f6597ca9d,"California State University, Los Angeles",United States
unvst-019b0caa-6751-7bf7-a203-db10c319ced9,"California State University, Monterey Bay",United States
unvst-019b0caa-6751-7bf7-a203-db11187f3dfe,"California State University, Northridge",United States
unvst-019b0caa-6751-7bf7-a203-db126da9db54,"California State University, Sacramento",United States
unvst-019b0caa-6751-7bf7-a203-db1314628fbc,"California State University, San Bernardino",United States
unvst-019b0caa-6751-7bf7-a203-db141825d971,"California State University, San Marcos",United States
unvst-019b0caa-6751-7bf7-a203-db1540b30b67,"California State University, Stanislaus",United States
unvst-019b0caa-6751-7bf7-a203-db16f6bb2ac7,California State University System,United States
unvst-019b0caa-6751-7bf7-a203-db17e6da5c4d,California University of Pennsylvania,United States
unvst-019b0caa-6751-7bf7-a203-db18b51f8470,Calvin College,United States
unvst-019b0caa-6751-7bf7-a203-db197ce803cd,Cameron University,United States
unvst-019b0caa-6751-7bf7-a203-db1ae51702ab,Campbellsville College,United States
unvst-019b0caa-6751-7bf7-a203-db1b5814bb7f,Campbell University,United States
unvst-019b0caa-6751-7bf7-a203-db1cbaeb8a2f,Canisius College,United States
unvst-019b0caa-6751-7bf7-a203-db1dee0a6cb7,Capella University,United States
unvst-019b0caa-6751-7bf7-a203-db1e1b83f061,Capitol Technology University,United States
unvst-019b0caa-6751-7bf7-a203-db1f7d3187dc,Carleton College,United States
unvst-019b0caa-6751-7bf7-a203-db20042b23ad,Carlow College,United States
unvst-019b0caa-6751-7bf7-a203-db21a81c90db,Carnegie Mellon University,United States
unvst-019b0caa-6751-7bf7-a203-db22f07d6102,Carroll College,United States
unvst-019b0caa-6751-7bf7-a203-db23c2c3d6cc,Carroll University,United States
unvst-019b0caa-6751-7bf7-a203-db2412b1ea51,Carson-Newman College,United States
